50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,3c0ac82b-4fda-431a-b3c0-7899fb1b83dc,51,,,"[7.0, 42.0]",3939969,0,,True,,,-0.7741627,,Right Foot,,,,"[20.5, 28.8]",,Ground Pass,,18.880943,,,,,Lisandro Martínez,27768.0,,,,,Goal Kick,1,From Goal Kick,Damián Emiliano Martínez,6909.0,Goalkeeper,3,Argentina,779,['29c2a9c0-5258-47cf-81c3-4d5e14e6309c'],50,,,,,,,,,,,,,,,,,Argentina,779,00:00:50.164,Pass,
,,,,,,,,,,,,,,,,,,,1.058103,,,,,,,,,,,,6728d5c4-81e9-4066-bc97-006bb6c41963,53,,,"[20.5, 28.8]",3939969,0,,,,,0.9459101,,Left Foot,,,,"[29.3, 41.0]",,Ground Pass,,15.042606,,,,,Leandro Daniel Paredes,16308.0,,,,,,1,From Goal Kick,Lisandro Martínez,27768.0,Left Center Back,3,Argentina,779,['b035a8a1-cb33-4f3f-82cc-68e74ec48fe8'],54,,,,,,,,,,,,,,,,,Argentina,779,00:00:54.964,Pass,
,,,,,,,,,,,,,,,,,,,0.945394,,,,,,,,,,,,2219992c-0fdb-4cc1-a040-92724dd1d4c6,56,,,"[33.1, 42.0]",3939969,0,,,,,0.8213539,,Right Foot,,,,"[39.8, 49.2]",,Ground Pass,,9.835141,,,,,Rodrigo Javier De Paul,7797.0,,,,,,1,From Goal Kick,Leandro Daniel Paredes,16308.0,Left Defensive Midfield,3,Argentina,779,['3548c53a-c83d-4beb-93f9-61f1ff921886'],57,,,,,,,,,,,,,,,,,Argentina,779,00:00:57.222,Pass,
,,,,,,,,,,,,,,,,,,,1.676587,,,,,,,,,,,,4f5a387e-6178-4396-ab36-21e88c8242bc,58,,,"[39.8, 49.2]",3939969,0,,,,,2.6938891,,Right Foot,,,,"[22.1, 57.7]",,Low Pass,,19.635172,,,,,Cristian Gabriel Romero,20572.0,,,,,,1,From Goal Kick,Rodrigo Javier De Paul,7797.0,Right Defensive Midfield,3,Argentina,779,['4a66af3b-c836-4abf-a36b-bd6fce586a3f'],58,,,,,,,,,,,,,,,,,Argentina,779,00:00:58.168,Pass,
,,,,,,,,,,,,,,,,,,,1.599998,,,,,,,,,,,,1c756d48-ed8a-4133-9027-002a95242ee5,61,,,"[29.5, 48.6]",3939969,1,,,,,-1.631558,,Right Foot,,,,"[27.9, 22.3]",,Ground Pass,,26.348625,,,,,Lisandro Martínez,27768.0,,,,,,1,From Goal Kick,Cristian Gabriel Romero,20572.0,Right Center Back,3,Argentina,779,['98b5a3bd-950b-4ac0-8dd5-ed1272a73cf3'],4,,,,,,,,,,,,,,,,,Argentina,779,00:01:04.551,Pass,
,,,,,,,,,,,,,,,,,,,2.054766,,,,,,,,,,,,6b52e159-dd32-49d9-9d57-d3eacda2445b,64,,,"[34.5, 27.1]",3939969,1,,,,,1.8762037,,Left Foot,,,,"[28.1, 47.4]",,Ground Pass,,21.284971,,,,,Cristian Gabriel Romero,20572.0,,,,,,1,From Goal Kick,Lisandro Martínez,27768.0,Left Center Back,3,Argentina,779,['b0276422-611b-4343-bfcc-43421b51192b'],8,,,,,,,,,,,,,,,,,Argentina,779,00:01:08.638,Pass,
,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,8def3f4e-0d3d-4b21-a66c-1e6168e80ef9,67,,,"[32.7, 44.8]",3939969,1,,,,,-1.539061,,Right Foot,,,,"[33.3, 25.9]",,Ground Pass,,18.909521,,,,,Lisandro Martínez,27768.0,,,,,,1,From Goal Kick,Cristian Gabriel Romero,20572.0,Right Center Back,3,Argentina,779,['be16a6b7-f80f-4c65-a6e9-0e099d5d4779'],15,,,,,,,,,,,,,,,,,Argentina,779,00:01:15.093,Pass,
,,,,,,,,,,,,,,,,,,,1.743937,,,,,,,,,,,,d88d1410-a0d9-48ba-8c1f-3c8c995d14cd,70,,,"[39.6, 27.4]",3939969,1,,,,,1.8925469,,Left Foot,,,,"[31.3, 52.3]",,Ground Pass,,26.246904,,,,,Cristian Gabriel Romero,20572.0,,,,,,1,From Goal Kick,Lisandro Martínez,27768.0,Left Center Back,3,Argentina,779,['6fdda51b-dc97-4850-a5a2-5295b116e6a6'],19,,,,,,,,,,,,,,,,,Argentina,779,00:01:19.893,Pass,
,,,,,,,,,,,,,,,,,,,1.536434,,,,,,,,,,,,56374e1c-08b6-4445-9f26-ad4d4823c7d2,73,,,"[36.2, 55.1]",3939969,1,,,,,0.87561715,,Right Foot,,,,"[54.8, 77.4]",,Ground Pass,,29.038767,,,,,Nahuel Molina Lucero,29201.0,,,,,,1,From Goal Kick,Cristian Gabriel Romero,20572.0,Right Center Back,3,Argentina,779,['17082971-bb47-446c-a893-b2192cab5390'],26,,,,,,,,,,,,,,,,,Argentina,779,00:01:26.837,Pass,
,,,,,,,,,,,,,,,,,,,0.953241,,,,,,,,,,,,3d9914ae-0cad-4b1f-b043-41bbd4d0ce77,77,,,"[57.0, 78.4]",3939969,1,,,,,-0.20232163,,Left Foot,,,,"[68.7, 76.0]",,Ground Pass,,11.943618,,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Goal Kick,Nahuel Molina Lucero,29201.0,Right Back,3,Argentina,779,"['468dc66d-fae9-46c1-a435-d72c55260919', 'fd358ba8-2df3-4063-b7ff-f9df0250d374']",28,,,,,,,,,,,,,,,,,Argentina,779,00:01:28.866,Pass,
