50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.745398,,,,,,,,,,,,,,e97fa57e-8245-4111-9a93-4a55606fc12d,46,,,"[86.6, 40.0]",3942416,0,,,,,-1.2676417,,Left Foot,,,,"[93.2, 18.9]",,Ground Pass,,22.108143,,,,Luis Fernando Díaz Marulanda,27158.0,,,,,,1,From Kick Off,Jhon Adolfo Arias Andrade,27277.0,Left Center Midfield,2,Colombia,769,['b0ec759b-e5cd-438a-a85b-be6cd346820a'],32,,,,,,,,,,,,,,,,,Colombia,769,00:00:32.690,Pass,
,,,,,,,,,,,,,,,0.717558,,,,,,,,,,,,,,a5b12a29-5575-4be6-96b0-337b2b2dba09,51,,,"[75.2, 11.1]",3942416,0,,,,,-2.5646596,,Right Foot,,,,"[68.9, 7.0]",,Ground Pass,,7.5166483,,,,Johan Andrés Mojica Palacio,5691.0,,,,,,1,From Kick Off,Luis Fernando Díaz Marulanda,27158.0,Left Center Forward,2,Colombia,769,"['0c478db0-abc6-4609-bfa7-f0fd5740d805', 'c3987b6b-9018-4226-91e6-81918a9e883b']",36,,,,,,,,,,,,,,,,,Colombia,769,00:00:36.912,Pass,True
,,,,,,,,,,,,,,,1.609375,,,,,,,,,,,,,,3b574e44-a633-4b26-b0bd-374bbd7fd76b,54,,,"[68.9, 5.0]",3942416,0,,,,,2.2098558,,Left Foot,,,,"[50.1, 30.3]",,Ground Pass,,31.520311,,,,Carlos Eccehomo Cuesta Figueroa,28567.0,,,,,,1,From Kick Off,Johan Andrés Mojica Palacio,5691.0,Left Back,2,Colombia,769,['51b4e796-cb62-4338-8e3d-a98fc31d3d40'],38,,,,,,,,,,,,,,,,,Colombia,769,00:00:38.366,Pass,
,,,,,,,,,,,,,,,1.619155,,,,,,,,,,,,,,9802a07b-8659-4592-8d06-381a883e5634,57,,,"[49.7, 30.9]",3942416,0,,,,,-1.2703191,,Right Foot,,,,"[56.3, 9.6]",,Ground Pass,,22.299103,,,,Johan Andrés Mojica Palacio,5691.0,,,,,,1,From Kick Off,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,2,Colombia,769,['eac2cd72-098c-4408-85fb-cc6b02c72e6a'],42,,,,,,,,,,,,,,,,,Colombia,769,00:00:42.023,Pass,
,,,,,,,,,,,,,,,0.898897,,,,,,,,,,,,,,af19847e-cab5-427d-a046-67276f864cc0,60,,,"[50.9, 12.8]",3942416,0,,,,,1.0584068,,Left Foot,,,,"[57.2, 24.0]",,Ground Pass,,12.850292,,,,Andrés Mateus Uribe Villa,6193.0,,,,,,1,From Kick Off,Johan Andrés Mojica Palacio,5691.0,Left Back,2,Colombia,769,['82c4c002-9db0-4dee-9ed6-a2eca48cff32'],44,,,,,,,,,,,,,,,,,Colombia,769,00:00:44.969,Pass,
,,,,,,,,,,,,,,,1.184841,,,,,,,,,,,,,,8010df47-c138-432e-bf47-d8191e421e5e,63,,,"[57.2, 24.0]",3942416,0,,,,,-2.5330706,,Right Foot,,,,"[45.0, 15.5]",,Ground Pass,,14.869096,,,,Johan Andrés Mojica Palacio,5691.0,,,,,,1,From Kick Off,Andrés Mateus Uribe Villa,6193.0,Center Defensive Midfield,2,Colombia,769,"['cc468fbb-ff32-4f30-a4cc-f81003c79b9f', 'fc08050c-c400-4229-8d02-78fa16bb117b']",45,,,,,,,,,,,,,,,,,Colombia,769,00:00:45.868,Pass,True
,,,,,,,,,,,,,,,2.102574,,,,,,,,,,,,,,230da724-5be6-440a-a968-7ba9cce35f34,66,,,"[45.0, 16.6]",3942416,0,,,,,2.090478,,Left Foot,,,,"[33.5, 36.7]",,Ground Pass,,23.157288,,,,Carlos Eccehomo Cuesta Figueroa,28567.0,,,,,,1,From Kick Off,Johan Andrés Mojica Palacio,5691.0,Left Back,2,Colombia,769,['2accfb84-4b03-4956-bfa0-5104a947db29'],48,,,,,,,,,,,,,,,,,Colombia,769,00:00:48.080,Pass,
,,,,,,,,,,,,,,,1.658319,,,,,,,,,,,,,,55450ce5-3218-4bac-92c8-a8592ac6e238,69,,,"[32.8, 37.5]",3942416,0,,,,,1.2770283,,Right Foot,,,,"[40.0, 61.3]",,Ground Pass,,24.865236,,,,Davinson Sánchez Mina,3494.0,,,,,,1,From Kick Off,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,2,Colombia,769,['7f38129a-340d-412b-8c04-c809292b459f'],51,,,,,,,,,,,,,,,,,Colombia,769,00:00:51.168,Pass,
,,,,,,,,,,,,,,,0.921448,,,,,,,,,,,,,,28c7fc76-3500-4bcc-b4d8-30c971134002,72,,,"[48.9, 57.0]",3942416,0,,,,,1.3385073,,Right Foot,,,,"[51.1, 66.3]",,Ground Pass,,9.556673,,,,James David Rodríguez Rubio,5695.0,,,,,,1,From Kick Off,Davinson Sánchez Mina,3494.0,Right Center Back,2,Colombia,769,['728a133f-25c2-4386-93ef-c0b5b083d118'],58,,,,,,,,,,,,,,,,,Colombia,769,00:00:58.019,Pass,
,,,,,,,,,,,,,,,1.971894,,,,,,,,,,,,,,ce86ea12-5161-4629-86dd-4fc1420fc16f,76,,,"[51.3, 64.8]",3942416,0,,,,,-1.9175938,,Left Foot,,,,"[41.0, 36.3]",,Ground Pass,,30.304125,,,,Carlos Eccehomo Cuesta Figueroa,28567.0,,,,,,1,From Kick Off,James David Rodríguez Rubio,5695.0,Center Attacking Midfield,2,Colombia,769,"['963fb78c-1a8b-4314-9ee7-c3ab43d70501', 'a9850a62-1397-4afe-9c38-dfbdb7ad6514']",59,,,,,,,,,,,,,,,,,Colombia,769,00:00:59.680,Pass,True
