50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.792239,,,,,,,,,,,,869729af-8273-48ea-90a7-54cb524b2232,91,,,"[37.7, 74.3]",3939985,4,,,,,-0.11506733,,Right Foot,,,,"[97.4, 67.4]",Ground Pass,,60.09742,,,Jacob Shaffelburg,26152.0,,,,,,1,From Free Kick,Alistair Johnston,44703.0,Right Back,10,Canada,1833,['0ba9de68-c0b9-4b28-b541-de3a09674b1f'],53,,,,,,,,,,,,,,,,,Canada,1833,00:04:53.003,Pass,
,,,,,,,,,,,,,,,,,,0.760611,,,,,,,,,,,,3c58a7fb-12a9-4b67-886b-236f80fa0369,94,,,"[113.0, 63.6]",3939985,4,,,,,-2.1156602,,Left Foot,,,True,"[111.0, 60.3]",Ground Pass,,3.8587563,,,Cyle Larin,16459.0,,,,,,1,From Free Kick,Jacob Shaffelburg,26152.0,Left Wing,10,Canada,1833,['9f06a956-27b7-4b58-b08d-56b7d2a72c73'],58,,,,,,,,,,,,,,,,,Canada,1833,00:04:58.599,Pass,
,,,,,,,,,,,,,,,,,,0.166884,,,,,,,,,,,,c15d39ae-9dbf-4dc0-8b07-387079122e9f,99,,,"[116.8, 66.1]",3939985,5,,,,,-1.9055332,,Right Foot,,,,"[116.0, 63.8]",Ground Pass,,2.4351592,Incomplete,,,,,,,,,1,From Free Kick,Cyle Larin,16459.0,Center Forward,10,Canada,1833,"['9ee28ce9-b8b7-44ff-8ba8-11cc37172748', 'bc564b9c-6c5e-4c04-8203-9f6ceebab315']",5,,,,,,,,,,,,,,,,,Canada,1833,00:05:05.200,Pass,True
,,,,,,,,,,,,,,,,,,1.955252,,,,,,,,,,,,5e4903d4-6753-46df-b3d3-358fc4ef9f10,106,,,"[7.5, 25.6]",3939985,5,,,,,1.3655494,,Right Foot,,,,"[13.1, 52.5]",Ground Pass,,27.476717,,,Igor Lichnovsky Osorio,26256.0,,,,,Free Kick,1,From Free Kick,Gabriel Arias Arroyo,28648.0,Goalkeeper,12,Chile,3562,['bce2721b-cb78-455a-9228-01c477c1c822'],29,,,,,,,,,,,,,,,,,Chile,3562,00:05:29.699,Pass,
,,,,,,,,,,,,,,,,,,1.451877,,,,,,,,,,,,3d94097d-3b78-4d47-9bdf-5d1812fbe66a,109,,,"[22.3, 56.0]",3939985,5,,,,,-1.5915402,,Right Foot,,,,"[21.8, 31.9]",Ground Pass,,24.105186,,,Guillermo Alfonso Maripán Loaysa,6855.0,,,,,,1,From Free Kick,Igor Lichnovsky Osorio,26256.0,Right Center Back,12,Chile,3562,['0d17b235-fe89-475a-b1de-67052b20a644'],35,,,,,,,,,,,,,,,,,Chile,3562,00:05:35.644,Pass,
,,,,,,,,,,,,,,,,,,1.660653,,,,,,,,,,,,fb828e43-9ad5-43f9-aee4-3b340ff6145e,112,,,"[22.1, 31.4]",3939985,5,,,,,-1.2358886,,Right Foot,,,,"[30.0, 8.7]",Ground Pass,,24.03539,,,Gabriel Alonso Suazo Urbina,36212.0,,,,,,1,From Free Kick,Guillermo Alfonso Maripán Loaysa,6855.0,Left Center Back,12,Chile,3562,['c6e4652c-1726-4890-b788-167b24059961'],38,,,,,,,,,,,,,,,,,Chile,3562,00:05:38.096,Pass,
,,,,,,,,,,,,,,,,,,1.451145,,,,,,,,,,,,843416a7-a162-4b21-804c-91da37b3aa9c,115,,,"[33.3, 9.6]",3939985,5,,,,,1.950276,,Left Foot,,,,"[26.6, 26.4]",Ground Pass,,18.086735,,,Guillermo Alfonso Maripán Loaysa,6855.0,,,,,,1,From Free Kick,Gabriel Alonso Suazo Urbina,36212.0,Left Back,12,Chile,3562,['62cc3465-ae6b-4594-82f9-5fa51c674592'],42,,,,,,,,,,,,,,,,,Chile,3562,00:05:42.572,Pass,
,,,,,,,,,,,,,,,,,,2.743741,,,,,,,,,,,,a491b832-0eb5-4e54-8ca6-88a72429e9c7,118,,,"[32.8, 32.1]",3939985,5,,,,,0.96469396,,Right Foot,,,,"[65.1, 78.7]",High Pass,,56.699646,,,Mauricio Aníbal Isla Isla,18874.0,,True,,,,1,From Free Kick,Guillermo Alfonso Maripán Loaysa,6855.0,Left Center Back,12,Chile,3562,['6ebd81b0-5bfe-45ce-be1b-2245872f4d85'],47,,,,,,,,,,,,,,,,,Chile,3562,00:05:47.494,Pass,
,,,,,,,,,,,,,,,,,,1.738393,,,,,,,,,,,,fcbb0c02-9b0f-4912-8226-549c6337a5d8,120,,,"[65.1, 78.7]",3939985,5,,,,,-0.07958614,,Head,,,,"[81.4, 77.4]",High Pass,,16.351759,Incomplete,,Darío Esteban Osorio Osorio,204925.0,,,,,,1,From Free Kick,Mauricio Aníbal Isla Isla,18874.0,Right Back,12,Chile,3562,"['a2f88650-5135-42cd-8b95-a89e3364bcbf', 'c77ac3f9-7be2-4444-8b06-0f8242e6a6f3']",50,,,,,,,,,,,,,,,,,Chile,3562,00:05:50.238,Pass,
,,,,,,,,,,,,,,,,,,2.461454,,,,,,,,,,,,37e8d8b2-22ac-486a-9123-6732495886fc,123,,,"[90.4, 80.0]",3939985,6,,,,,-2.8872247,,,,,,"[70.4, 74.8]",Low Pass,,20.664946,,,Igor Lichnovsky Osorio,26256.0,,,,,Throw-in,1,From Throw In,Mauricio Aníbal Isla Isla,18874.0,Right Back,13,Chile,3562,['e544b7a6-bd16-4372-a2a4-7949484bb80c'],2,,,,,,,,,,,,,,,,,Chile,3562,00:06:02.559,Pass,
