50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.377741,,,,,,,,,,,,,4261247f-13bf-4a5d-be43-942b6017fc7d,1497,,,"[68.0, 75.4]",3942415,49,,,,,-0.80667156,,Right Foot,,,"[70.3, 73.0]",Ground Pass,,3.3241541,,Incomplete,,Federico Santiago Valverde Dipetta,6773.0,,,,,,,2,Regular Play,Nahitan Michel Nández Acosta,5247.0,Right Back,97,Uruguay,783,"['5a9c1719-1eaf-475d-ad3d-09aac81f2e9c', '78c996d6-3c6d-4099-9686-5358755f6c9e', '92c1e6e1-ba3e-4fdd-bd1e-987c526a36b8']",38,,,,,,,,,,,,,,,,,Uruguay,783,00:04:38.991,Pass,True
,,,,,,,,,,,,,,,,,1.346044,,,,,,,,,,,,,d5042c84-57f3-4a7d-9221-04f7bb2bd15b,1503,,,"[75.6, 75.1]",3942415,49,,,,,-0.5156401,,Right Foot,,,"[103.3, 59.4]",Ground Pass,,31.839912,,Incomplete,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,,,2,Regular Play,Nahitan Michel Nández Acosta,5247.0,Right Back,97,Uruguay,783,"['81440618-0b90-4404-95fb-eecac93c0f68', '93aea414-c133-4954-9318-a9c021a2e61c', 'd1318c1f-908f-467e-9750-6e45aae06c7b']",41,,,,,,,,,,,,,,,,,Uruguay,783,00:04:41.803,Pass,True
,,,,,,,,,,,,,,,,,2.358286,,,,,,,,,,,,,65904df3-a99c-497d-8864-c76e966b8a98,1508,,,"[9.7, 8.2]",3942415,49,,,,,0.10657144,,Left Foot,,,"[52.7, 12.8]",High Pass,,43.245346,,Incomplete,,,,,,,,,,2,Regular Play,Marcos Aoás Corrêa,4372.0,Left Center Back,97,Uruguay,783,"['9081ad66-a536-4e06-83a0-fefb42664abb', 'c5f58e67-f647-40e6-bda0-30d3f8a99970']",45,,,,,,,,,,,,,,,,,Brazil,781,00:04:45.054,Pass,True
,,,,,,,,,,,,,,,,,1.911181,,,,,,,,,,,,,c5f58e67-f647-40e6-bda0-30d3f8a99970,1509,,,"[67.4, 67.3]",3942415,49,,,,,-0.2097216,,Head,,,"[92.3, 62.0]",High Pass,,25.457808,,Incomplete,,Facundo Pellistri Rebollo,36288.0,,,,,,Recovery,2,Regular Play,José María Giménez de Vargas,5259.0,Right Center Back,97,Uruguay,783,"['02a03b79-4c72-4c5e-a43e-ca499fe23b08', '65904df3-a99c-497d-8864-c76e966b8a98', 'e2bbee3c-2dee-4abe-91fc-59120bffe3b7']",47,,,,,,,,,,,,,,,,,Uruguay,783,00:04:47.412,Pass,
,,,,,,,,,,,,,,,,,1.443057,,,,,,,,,,,,,02a03b79-4c72-4c5e-a43e-ca499fe23b08,1511,,,"[27.8, 18.1]",3942415,49,,,,,-0.08988589,,Head,,,"[51.1, 16.0]",High Pass,,23.394444,,Incomplete,,,,,,,,,Recovery,2,Regular Play,Guilherme Antonio Arana Lopes,6919.0,Left Back,97,Uruguay,783,"['c5f58e67-f647-40e6-bda0-30d3f8a99970', 'df8eeb80-df89-4ecc-8fa9-48e2aaaa787f']",49,,,,,,,,,,,,,,,,,Brazil,781,00:04:49.323,Pass,
,,,,,,,,,,,,,,,,,1.21414,,,,,,,,,,,,,df8eeb80-df89-4ecc-8fa9-48e2aaaa787f,1512,,,"[69.0, 64.1]",3942415,49,,,,,-0.7111547,,Other,,,"[75.5, 58.5]",Low Pass,,8.579627,,,,Federico Santiago Valverde Dipetta,6773.0,,,,,,Recovery,2,Regular Play,José María Giménez de Vargas,5259.0,Right Center Back,97,Uruguay,783,"['02a03b79-4c72-4c5e-a43e-ca499fe23b08', '5472bb8f-0121-4aa0-81c8-550286941d90']",50,,,,,,,,,,,,,,,,,Uruguay,783,00:04:50.766,Pass,
,,,,,,,,,,,,,,,,,1.200421,,,,,,,,,,,,,deb22333-4191-4cbf-82f5-636c05c4b4ca,1514,,,"[75.8, 59.4]",3942415,49,,,,,-2.2168324,,Right Foot,,,"[66.3, 46.8]",Ground Pass,,15.78005,,,,Manuel Ugarte Ribeiro,36659.0,,,,,,,2,Regular Play,Federico Santiago Valverde Dipetta,6773.0,Right Center Midfield,97,Uruguay,783,['6f100ceb-4728-48a5-8a65-faef983c2e39'],51,,,,,,,,,,,,,,,,,Uruguay,783,00:04:51.981,Pass,
,,,,,,,,,,,,,,,,,1.114467,,,,,,,,,,,,,b47bf5a4-e630-4c85-8c63-aea319a4cf4a,1518,,,"[64.3, 39.5]",3942415,49,,,,,-0.3921584,,Left Foot,,,"[80.5, 32.8]",Ground Pass,,17.53083,,,,Diego Nicolás De La Cruz Arcosa,28729.0,,,,,,,2,Regular Play,Manuel Ugarte Ribeiro,36659.0,Center Defensive Midfield,97,Uruguay,783,"['073023b3-aa34-4d57-a4a4-811c500a3111', 'f0ac3c37-ad23-4e02-897c-4cfe4f50dfd0']",54,,,,,,,,,,,,,,,,,Uruguay,783,00:04:54.307,Pass,True
,,,,,,,,,,,,,,,,,2.237103,,,,,,,,,,,,,f59130a7-2e2f-4471-8949-5e06b4ab487e,1521,,,"[79.8, 26.9]",3942415,49,,,,,-1.2263527,,Left Foot,,,"[87.8, 4.6]",Ground Pass,,23.691559,,,,Maximiliano Javier Araújo Vilches,35492.0,,,,,,,2,Regular Play,Diego Nicolás De La Cruz Arcosa,28729.0,Left Center Midfield,97,Uruguay,783,['2435e75c-74d2-4113-a662-5b6a72587ed0'],56,,,,,,,,,,,,,,,,,Uruguay,783,00:04:56.392,Pass,
,,,,,,,,,,,,,,,,,1.290644,,,,,,,,,,,,,a070b5df-edd4-41f5-a6ae-ab9f038bfe33,1524,,,"[87.8, 5.6]",3942415,49,,,,,1.7830669,,Left Foot,,,"[85.3, 17.2]",Ground Pass,,11.866339,,,,Diego Nicolás De La Cruz Arcosa,28729.0,,,,,,,2,Regular Play,Maximiliano Javier Araújo Vilches,35492.0,Left Midfield,97,Uruguay,783,['62bddbfe-8aa1-4bf3-ad22-4976d72ecc07'],59,,,,,,,,,,,,,,,,,Uruguay,783,00:04:59.623,Pass,
