50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[110.4, 61.5]",,,,,,,,,,,,,0.654154,,,,,,,,,,,,,35aaf6f0-e543-415e-bf8f-94e14618e8bd,1032,,"[109.2, 63.6]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,César Rodolfo Blackman Camarena,44305.0,Right Wing,52,Panama,798,"['6edab74e-2529-4f68-9e25-41afa604ae3b', '7817b015-06cc-4ac5-8df8-1c75b14a148e', '9893e9bb-3b74-4c2e-afd7-3a495aa5e6b5', 'd5ecd4cf-6df1-4716-9a1d-1984ff04ab26']",17,,,,,,,,,,,,,,,,,,Panama,798,00:32:17.252,Carry,True
,,,,,,"[116.1, 53.9]",,,,,,,,,,,,,1.693957,,,,,,,,,,,,,21ed9f25-c1f2-4ebb-8276-9e5249d42609,1035,,"[110.4, 61.5]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,César Rodolfo Blackman Camarena,44305.0,Right Wing,52,Panama,798,"['6edab74e-2529-4f68-9e25-41afa604ae3b', '79a7a506-ab69-4f4f-91a1-33b90526fbec', '9893e9bb-3b74-4c2e-afd7-3a495aa5e6b5', 'd64aa6c3-3fa4-4a72-b366-1dc36da7898b']",17,,,,,,,,,,,,,,,,,,Panama,798,00:32:17.906,Carry,True
,,,,,,"[7.0, 43.7]",,,,,,,,,,,,,12.79361,,,,,,,,,,,,,51764bee-0b7c-4eea-966f-6d660ff2b621,1040,,"[3.0, 36.4]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Guillermo Viscarra Bruckner,47057.0,Goalkeeper,53,Bolivia,3564,"['7a4a5fd5-1e32-46e6-811a-2f0cb5405cf9', 'ad90cd71-15df-4978-a67f-df3acca420dc']",20,,,,,,,,,,,,,,,,,,Bolivia,3564,00:32:20.913,Carry,
,,,,,,"[16.8, 67.4]",,,,,,,,,,,,,2.869104,,,,,,,,,,,,,befd2100-c5d4-434a-96f3-4c5580380ab2,1043,,"[13.7, 63.5]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Héctor Manuel Cuellar Rosales,398489.0,Right Center Back,53,Bolivia,3564,"['a35e3341-cb57-423a-84a9-9cde6e12125f', 'd9f2230c-a723-42e8-aacf-c3cf8853d357']",35,,,,,,,,,,,,,,,,,,Bolivia,3564,00:32:35.762,Carry,
,,,,,,"[32.6, 75.6]",,,,,,,,,,,,,0.664366,,,,,,,,,,,,,55d39eb2-a9f4-4025-9ddd-c232449395bb,1048,,"[33.8, 76.1]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Héctor Manuel Cuellar Rosales,398489.0,Right Center Back,54,Bolivia,3564,"['dbdb7d17-adb9-499e-968f-3273e17497dd', 'fbe139ba-a708-46b5-9718-f742b9e4fb6d']",57,,,,,,,,,,,,,,,,,,Bolivia,3564,00:32:57.690,Carry,
,,,,,,"[22.7, 62.4]",,,,,,,,,,,,,1.105136,,,,,,,,,,,,,682e119c-b5b7-439e-809b-b32032983efe,1051,,"[24.1, 62.2]",3939989,32,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luis Fernando Haquín Lopez,37070.0,Center Back,54,Bolivia,3564,"['25d7e91e-2cbc-4b82-b353-f725983d29a9', '261ef0c4-a931-41fd-a4a4-acecfd863070']",59,,,,,,,,,,,,,,,,,,Bolivia,3564,00:32:59.914,Carry,
,,,,,,"[33.8, 42.3]",,,,,,,,,,,,,3.941113,,,,,,,,,,,,,94868f5c-80db-4e42-be00-e9e720be1f72,1054,,"[37.6, 60.2]",3939989,33,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Boris Cespedes,28949.0,Right Defensive Midfield,54,Bolivia,3564,"['60295ca6-cbf4-4c8d-9c3b-86fab6ffa7fd', 'bc3b8d07-8deb-4e14-971a-e365baffc09a']",2,,,,,,,,,,,,,,,,,,Bolivia,3564,00:33:02.022,Carry,
,,,,,,"[34.0, 11.7]",,,,,,,,,,,,,0.432335,,,,,,,,,,,,,624d2034-15bb-4281-9407-26647d4918d0,1057,,"[36.6, 13.4]",3939989,33,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Manuel Sagredo Chávez,114003.0,Left Wing Back,54,Bolivia,3564,"['ab54f293-1b54-4156-8d24-fc4391bbe330', 'c7c6d534-4c60-4768-b2f4-175d60055158']",7,,,,,,,,,,,,,,,,,,Bolivia,3564,00:33:07.690,Carry,
,,,,,,"[83.5, 12.7]",,,,,,,,,,,,,2.343117,,,,,,,,,,,,,d835e308-bbca-47e3-bebb-7996ec697292,1062,,"[76.8, 9.2]",3939989,33,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gabriel Alejandro Villamíl Cortéz,113732.0,Left Defensive Midfield,54,Bolivia,3564,"['6a308997-9dba-4d4d-89ca-780f7faa8030', '8d33ddd7-0b57-4f7f-95ed-e5cf769934cd']",11,,,,,,,,,,,,,,,,,,Bolivia,3564,00:33:11.250,Carry,
,,,,,,"[77.1, 38.3]",,,,,,,,,,,,,0.746217,,,,,,,,,,,,,8419220c-b85e-45f7-a2f0-310c4d870e3d,1065,,"[78.2, 41.1]",3939989,33,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Miguel Ángel Terceros,336796.0,Right Attacking Midfield,54,Bolivia,3564,"['6aab00fa-1f49-417e-83eb-8d8da18de97b', '74a30671-f790-41a1-b506-1901eea4c007', 'c8c67fbf-ba6a-4a52-8c73-b5c10a6e2199']",15,,,,,,,,,,,,,,,,,,Bolivia,3564,00:33:15.231,Carry,True
,,,,,,"[81.6, 31.2]",,,,,,,,,,,,,0.068567,,,,,,,,,,,,,1c2499bd-8ab9-4057-b8bd-2a0e5d7215ec,1069,,"[81.6, 31.2]",3939989,33,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ramiro Vaca Ponce,113995.0,Left Attacking Midfield,54,Bolivia,3564,"['34b11648-7cd6-434e-af1d-333f4c5fbf76', 'c1b74bca-4733-4486-9729-529fdcba2de3']",16,,,,,,,,,,,,,,,,,,Bolivia,3564,00:33:16.571,Carry,
,,,,,,"[96.4, 68.7]",,,,,,,,,,,,,0.835409,,,,,,,,,,,,,b6b2579e-ad11-4b0d-a9d7-bd9f452620c6,1072,,"[84.1, 66.8]",3939989,33,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yomar Rene Rocha Rodriguez,367353.0,Right Wing Back,54,Bolivia,3564,"['0281e81e-d2ac-43d8-ba7a-9e55c9c5d55d', '8fa92994-5c5f-426e-85b1-8c2dc4fa2fa1']",18,,,,,,,,,,,,,,,,,,Bolivia,3564,00:33:18.929,Carry,
,,,,,,"[6.6, 62.9]",,,,,,,,,,,,,0.648024,,,,,,,,,,,,,3c51c280-76fd-4785-a415-8fa56483a0e8,1081,,"[7.5, 61.9]",3939989,33,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Edgardo Isaac Fariña Wynter,260212.0,Right Center Back,55,Panama,798,"['003a348e-c32c-4400-ba81-e4d4c0ba5b36', 'd4f2099e-574b-4680-84e3-5262db2e3f7b']",53,,,,,,,,,,,,,,,,,,Panama,798,00:33:53.711,Carry,
,,,,,,"[8.7, 69.5]",,,,,,,,,,,,,5.250035,,,,,,,,,,,,,8d5627d0-98fb-4a14-9186-656d2554d560,1084,,"[26.0, 73.3]",3939989,33,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Michael Amir Murillo Bermudez,5641.0,Right Wing Back,55,Panama,798,"['4a3a2da8-5997-4646-a796-7c06edce4c9d', '58feef71-188b-4772-ae08-462e89a7d21c', 'f9ce3311-4388-4b8d-bd94-31338e7a90c6']",55,,,,,,,,,,,,,,,,,,Panama,798,00:33:55.765,Carry,True
,,,,,,"[113.9, 8.4]",,,,,,,,,,,,,5.024948,,,,,,,,,,,,,7a598f39-2441-4ad7-987c-d50aaa57625e,1088,,"[111.4, 10.6]",3939989,34,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,José Manuel Sagredo Chávez,114003.0,Left Wing Back,55,Panama,798,"['62b192e9-9b2d-4bf7-8bf2-e101bfa1b2dd', 'aa8853b4-952a-4d3b-9628-42b76b02435f', 'eb539a18-194b-4786-98ec-7742c4c14beb']",1,,,,,,,,,,,,,,,,,,Bolivia,3564,00:34:01.015,Carry,True
